MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
06-06,0.4025421825,0.3717366975,0.310237685,0.3464795075,0.34179633249999997,0.36718843999999995,0.3268652825,0.1590443585,0.35379576249999994,0.2074455825,0.20517189249999998,0.44869323749999995,0.3221436625,0.31376622499999995,0.3892395,0.3909606975
06-11,0.38864102999999994,0.3337768075,0.287992345,0.327046815,0.34690635999999997,0.35917621,0.32965915,0.1793823425,0.3742682775,0.25739107499999997,0.250602105,0.4367858225,0.3100952925,0.3049315175,0.37901638499999996,0.386744495
06-16,0.37115069250000005,0.28325206999999997,0.2672510975,0.3045338625,0.3464245475,0.3481578925,0.3289746125,0.20820301,0.38580915,0.30913048,0.29457723999999996,0.4142816525,0.3046160125,0.29979301999999997,0.372933555,0.38355458000000003
06-21,0.34294508999999995,0.228341715,0.24591914000000004,0.2761827925,0.34044919500000004,0.33246427500000003,0.322283345,0.24204156000000002,0.38431568250000003,0.34983568500000006,0.328712245,0.3772070975,0.2993167225,0.29253742250000003,0.3657152,0.3787840175
06-26,0.3064735475,0.1830551875,0.22332652999999997,0.245602805,0.32618335,0.3092434375,0.30728937749999996,0.2735909775,0.3675414375,0.37438159,0.35171707750000003,0.33201047,0.29208625499999996,0.283100985,0.359087445,0.373418705
07-01,0.263831635,0.1514454525,0.2009241,0.2155877275,0.30342338,0.2803911025,0.286723525,0.3005995925,0.3401524575,0.386583095,0.36694152999999996,0.28153676250000004,0.2844806,0.2742338225,0.35325566,0.366773485
07-06,0.220837225,0.1337194475,0.18028633249999998,0.18890705500000002,0.27657506,0.2503023425,0.2657905825,0.32370400499999996,0.30982725,0.3931442575,0.3811417975,0.23271218,0.279214315,0.268925375,0.35121945,0.36241528
07-11,0.181885855,0.12335199399999999,0.163009145,0.16799410125000003,0.247827005,0.222366905,0.24786605,0.346341715,0.2809367475,0.398124985,0.39586068500000005,0.19172836,0.2772219075,0.26796358249999996,0.3524451925,0.35916732
07-16,0.1463426375,0.1108184875,0.14639589849999998,0.14883929375,0.21714936,0.19481663,0.22853489500000002,0.3628604275,0.25015949,0.39638445,0.405103435,0.157540205,0.2723801525,0.26347976500000003,0.3499263875,0.35239750999999997
07-21,0.11977867,0.10172724475,0.132995806,0.13376868749999998,0.1885648425,0.1722753625,0.2088687825,0.3705242675,0.2192945175,0.38505603499999996,0.410702535,0.1342423225,0.2657509,0.2557694525,0.3470048425,0.343932375
07-26,0.10354262624999999,0.09728742,0.12424233500000001,0.12460120249999998,0.1647786825,0.15590442000000002,0.19109483500000002,0.36956529000000005,0.191502665,0.36404131,0.4119595225,0.12361457749999999,0.2592773175,0.24702087000000003,0.3450394925,0.33598411499999997
07-31,0.09512657375,0.0959989875,0.1197821935,0.11975767749999999,0.14694517,0.14540776499999997,0.1776948625,0.3652964225,0.1696807125,0.338221385,0.4119434875,0.12270662125,0.25470394500000004,0.23931155250000002,0.34543924,0.33074655999999997
08-05,0.09227067124999999,0.09735663375,0.11897654,0.1185411775,0.135812275,0.14013877000000002,0.16943249999999999,0.35905019250000003,0.1544260775,0.31036494,0.410283975,0.1298289725,0.251844315,0.23374845,0.345818605,0.32683737
08-10,0.0926853835,0.10041476875000001,0.1208698925,0.1198770025,0.1299770135,0.137910325,0.16523936,0.35060998499999996,0.14453507499999999,0.28323082499999996,0.40719836249999997,0.14214471750000002,0.25094763,0.23123785,0.346237645,0.3247185975
08-15,0.09390694499999999,0.102520966,0.1226146025,0.12150017225,0.12583774150000002,0.13661083499999999,0.16184271500000003,0.3378100375,0.13741662999999998,0.25616224,0.40178746499999995,0.153095215,0.24902854000000002,0.228657115,0.3441218525,0.321555555
08-20,0.09471410724999998,0.103806228,0.1244430925,0.12347973625,0.122047166,0.13566407749999998,0.1589654175,0.322871445,0.13311022,0.23064849250000002,0.395863045,0.16028806250000002,0.247076075,0.2272631725,0.342038405,0.31826879750000003
08-25,0.09536887225000001,0.10572868125,0.12779283,0.12696392875,0.117691785,0.1354886965,0.15724296499999998,0.30808567,0.1313152365,0.20697258500000001,0.3932586625,0.16363701249999998,0.2476458025,0.2296375775,0.34320191250000004,0.3174485225
08-30,0.0962259025,0.10934020125,0.13242548875000001,0.1315262025,0.11332969,0.136253861,0.1564329875,0.29243581750000003,0.13020725499999997,0.1837162225,0.3911369775,0.1600549825,0.249062455,0.2345172425,0.34442381,0.31501624
09-04,0.0998659185,0.11794750849999999,0.14107260250000003,0.139455165,0.113084095,0.14003568,0.1586750525,0.27627644,0.132030471,0.16422727499999998,0.3882184375,0.15183279,0.2529481125,0.24251279999999997,0.34667093250000003,0.314433305
09-09,0.1068841935,0.1322217725,0.152909875,0.1500016625,0.11722646875,0.14649569499999998,0.16304169500000001,0.2611673475,0.1355027225,0.1493084475,0.38354861250000005,0.1405496625,0.259605475,0.25225252750000005,0.35145115250000003,0.31699498000000004
09-14,0.115325181,0.1504058775,0.164479315,0.16013159999999999,0.1235138275,0.153841195,0.1662615325,0.24238676400000003,0.13791713,0.13666750249999998,0.37042509500000004,0.127004456,0.26316505749999997,0.2582560375,0.3522558,0.3171019
09-19,0.123052415,0.17117884,0.173714635,0.168240725,0.13120376150000002,0.1616425,0.16711963,0.21944744649999998,0.1388867425,0.125450495,0.3492716325,0.1161280515,0.26183631,0.259879555,0.3488719425,0.31370415
09-24,0.13269563750000002,0.1970113425,0.18298203250000003,0.1771538325,0.1400537175,0.1718669175,0.16818225750000002,0.19726921125000002,0.14086934499999998,0.1172267875,0.3319310975,0.11144761624999999,0.26207469,0.26206774749999995,0.34804752250000004,0.30991713249999997
09-29,0.14419677,0.22514186749999998,0.19218493500000003,0.1866991575,0.150236664,0.1845940975,0.17029987,0.1764283015,0.1443233525,0.11050439125,0.31642759,0.11032509725,0.264473705,0.265692265,0.3476186775,0.30445153750000004
10-04,0.15939996499999998,0.255368495,0.2031998475,0.19868244000000002,0.1649427325,0.20037221249999998,0.1743576975,0.1581395175,0.15145582,0.10687690125,0.30223493,0.1144057275,0.26851055,0.270511815,0.34720447,0.3001361775
10-09,0.1769346525,0.28097717749999995,0.21407875250000002,0.21125146250000001,0.1809692225,0.21575425750000002,0.17963535749999998,0.14594570125,0.161559515,0.10688913025000002,0.2872015925,0.12339690125,0.27137260500000004,0.2738581,0.34454664,0.295977865
10-14,0.1938414675,0.29958965,0.22278576749999998,0.22213847000000003,0.19611241,0.22838991,0.18511520250000002,0.13785527900000002,0.1725478775,0.1098192055,0.268778085,0.13508304124999998,0.27080875,0.27425042,0.338413925,0.28940869
10-19,0.21157507750000001,0.31569603500000004,0.231790025,0.233317845,0.2114848825,0.2411371575,0.191829925,0.13353967625000002,0.1857410975,0.1146137675,0.24793627,0.14965208749999998,0.26953391,0.27444563750000006,0.33169551750000004,0.2813907025
10-24,0.2296417125,0.32977877,0.241611575,0.24488177,0.22704657749999999,0.2544354175,0.19992182000000003,0.13412513,0.200727605,0.12144588850000002,0.2279375925,0.16608459,0.268843645,0.2755823775,0.3257348175,0.273628955
