MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
04-22,0.125178285,0.13907565500000002,0.134848941,0.13676314500000003,0.099956465,0.10137943999999999,0.09594170525,0.097798376,0.095367625,0.083565235,0.0808309225,0.145841334,0.14639181,0.1478389275,0.14151077,0.12743173375
04-27,0.1315772375,0.144522965,0.140717595,0.144628385,0.1052854935,0.1081999225,0.10133345099999999,0.0986819125,0.09978849449999999,0.08524199875,0.08269692375000001,0.17933885500000002,0.157656125,0.1594293275,0.15420902250000001,0.14678106000000002
05-02,0.13045299999999999,0.140983545,0.14041011,0.145418885,0.1093825175,0.11482434500000001,0.10582173750000001,0.0969081725,0.103057115,0.0850931255,0.0831559825,0.20748218499999999,0.16138718749999997,0.16284863,0.1613447625,0.16000037
05-07,0.12261580124999999,0.13141026,0.13389052,0.139383785,0.1117371825,0.120310154,0.10875579725000001,0.09391400250000001,0.105344294,0.08381629575,0.083137095,0.2246605175,0.157975695,0.1586660425,0.1609173925,0.16399949749999998
05-12,0.11573625400000001,0.12608592125,0.1278634525,0.13319306749999998,0.113408335,0.124533155,0.1115545715,0.092315795,0.108358805,0.08328894649999999,0.083461225,0.2293888225,0.153680495,0.15370402,0.159276325,0.16367118
05-17,0.10686445775,0.12166676000000001,0.11847106499999999,0.1245971835,0.11426734625,0.127373125,0.112846381,0.09033169599999999,0.111112115,0.08209013875,0.0834527775,0.2190468975,0.1461195425,0.1451282025,0.15377738999999999,0.15675806
05-22,0.097931919,0.119736959,0.10969245250000001,0.11715108900000001,0.11672344,0.13014929749999998,0.1149956385,0.0898285085,0.1156138465,0.0825160525,0.0849904075,0.19846371000000002,0.13929614499999998,0.1380372525,0.14881578499999998,0.1490999425
05-27,0.10013227499999999,0.132976384,0.109540954,0.11880389250000001,0.1244379125,0.1378604525,0.12231557100000001,0.09358272375000001,0.1245242975,0.08781332524999999,0.09123093125000001,0.183051105,0.14075933000000002,0.13988962500000002,0.1539420275,0.1541733075
06-01,0.10408938400000001,0.14691836249999998,0.1118483725,0.1227536585,0.130539785,0.14401673499999998,0.130585835,0.09874397900000001,0.1336734475,0.09576777125,0.0994586425,0.17490284,0.1426262025,0.1425053425,0.1583891525,0.15789779250000002
06-06,0.1083620685,0.1593821025,0.11230796500000001,0.12456438125,0.132995855,0.1463445275,0.1358174175,0.1021592675,0.14008457749999997,0.1054763065,0.1080729875,0.1693750625,0.1416644625,0.14294546249999998,0.1596314025,0.15892448
