MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
06-26,0.3935088475,0.25298034,0.3168072075,0.3428203525,0.4133253475,0.4084669875,0.398711985,0.35309443500000004,0.42335032,0.416472555,0.383056825,0.3949552825,0.38478161250000004,0.387347675,0.445772175,0.482815365
07-01,0.3463597725,0.21022118499999998,0.285553755,0.304318235,0.38918124750000005,0.3745299375,0.3759802825,0.37738082,0.39766433749999996,0.4204742225,0.39010649,0.3513026875,0.3719636475,0.372821545,0.43453334499999996,0.4715781725
07-06,0.294550505,0.18159053749999998,0.2558797275,0.2686749275,0.35987096249999995,0.335225305,0.3510757425,0.389797345,0.36721925,0.4154181275,0.39241503,0.3025763625,0.3574430125,0.3584782925,0.4209909775,0.45320370749999994
07-11,0.2450052325,0.161039565,0.23251916499999997,0.2390434125,0.3297795,0.2992610125,0.32895628499999996,0.40148867499999996,0.33856448,0.411067375,0.394101105,0.2566218525,0.34660724499999995,0.34919840750000003,0.41169831,0.44025348500000006
07-16,0.20509867750000002,0.14462269249999998,0.215711715,0.216834675,0.30208927,0.27058827999999996,0.3120202025,0.41656950249999997,0.31374309,0.41100379499999995,0.4000105375,0.2195341375,0.34306130749999997,0.34679266000000003,0.410626065,0.43551243250000005
07-21,0.17610727999999998,0.1359944125,0.20449793,0.20184079249999998,0.27598973,0.24980242749999998,0.2988671725,0.43237153,0.29145838749999997,0.4118082225,0.40934781,0.1937347925,0.34616914499999996,0.34850378000000004,0.41792208750000004,0.43971837
07-26,0.159453685,0.134992325,0.198574925,0.19367552,0.2529201375,0.2364793475,0.289014765,0.445370265,0.2716222625,0.4085584925,0.4196107225,0.1819258475,0.35506541,0.352540875,0.431938665,0.4501786975
07-31,0.1472654725,0.134783495,0.190365945,0.18635412249999997,0.2291321475,0.22045591,0.27496445249999996,0.4458018575,0.2492955825,0.392006965,0.42366988499999997,0.17637099,0.35415184250000004,0.34687489250000003,0.43545674749999996,0.45229321499999997
08-05,0.1401023225,0.1366425675,0.18329010750000002,0.1814941725,0.20841168999999998,0.208604055,0.262377735,0.438368785,0.230494845,0.36857217,0.4230021275,0.1795898975,0.35086017999999997,0.3394768075,0.43324926999999996,0.4490203625
08-10,0.136333285,0.1397655525,0.1794496075,0.17903341,0.1932190325,0.20000450749999998,0.2511090225,0.42758482750000004,0.2152129125,0.34344197,0.41771650250000003,0.1886731075,0.3460047975,0.332786505,0.4291713325,0.4444692825
08-15,0.135497135,0.1429191525,0.1789139825,0.17941539750000002,0.18354610249999997,0.195962295,0.24385167750000003,0.41612655,0.20440503000000002,0.32050849000000003,0.41218448750000003,0.19888539249999998,0.34316402,0.329799525,0.426729255,0.44079918250000005
08-20,0.13583591,0.1454548825,0.1807140125,0.18157558499999998,0.1763836275,0.1945339175,0.23919036999999999,0.40268114250000003,0.19778830249999999,0.29896898000000005,0.40791474250000004,0.206564725,0.34149434749999996,0.3289772025,0.4245395825,0.43722114749999996
