MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
06-01,0.10245911921176284,0.1007462631334372,0.07763810076123354,0.09057984422585126,0.08610460503715903,0.10008329032744312,0.08633474104880115,0.06100806253733265,0.09570873905169121,0.07345325821745688,0.06386036046977678,0.1090772782216283,0.08338783560394045,0.0853963222619193,0.10136086337213117,0.10322441540929198
06-06,0.10426647842034475,0.09816708403134874,0.07601573836409482,0.09033058289792624,0.0910742509917442,0.10240950053712611,0.09067451406485084,0.06619373885824051,0.10058271499081689,0.08482962192080228,0.06899572834315916,0.11084098427468421,0.08443504749025754,0.08607719175866323,0.10165524287589917,0.10474169730806285
06-11,0.10352845870364687,0.0922224261116191,0.074468154181414,0.08888636075800911,0.09484246562506993,0.10362644634650697,0.09448160796962132,0.07223947567416122,0.1045212107076086,0.09513133913301673,0.07455327296863855,0.1099612754855756,0.08697097354784558,0.08842346850233927,0.10280745339104659,0.10609885585240668
06-16,0.10066307063562616,0.08177255567477068,0.07154064111008654,0.08492537862502159,0.09683403347352851,0.10259186687217135,0.09608946587917014,0.0772202326518229,0.10544947968840718,0.10182645341262883,0.07958108994592047,0.10645182275447576,0.08767579982743574,0.0887705706304382,0.10265767091848835,0.10613175080668343
06-21,0.0958609262097388,0.06868226922449916,0.06725540588282677,0.0787077643673991,0.09741666620935963,0.09993512358102363,0.0947203458510161,0.0816660097705582,0.10274565982790476,0.10535332535397522,0.08417619693048264,0.0997383492756912,0.08594297406078623,0.08649053009037228,0.10056781517420854,0.1052777004763531
06-26,0.08865551116624346,0.05588762356818073,0.061487284303274325,0.07069420373734867,0.09469303788629208,0.09439548865593575,0.08922688210473995,0.08331480996782036,0.09550110728726027,0.10452529047861703,0.08700828507894932,0.08975862419492917,0.08152533413622885,0.08136238576909605,0.0961943919668823,0.1024119762204506
07-01,0.07820053478491235,0.046043430373963995,0.05594009548519097,0.06286028401649749,0.0894562814205851,0.08662530951665239,0.08168358675741774,0.0833864204661008,0.08710173816944713,0.10015922782843845,0.08741146796695093,0.07703986756233842,0.0766139985264868,0.07599348265845102,0.09183931325903591,0.09832836780573122
07-06,0.06592159108480855,0.04039294724556557,0.05221726569737412,0.05647986968875983,0.08332966739386066,0.07879064380577744,0.07540998843273905,0.08530771696935041,0.08046460833327579,0.0960164900249817,0.08751509684201828,0.06370957085704498,0.0734082880111473,0.0730512633466581,0.09016933982917592,0.09654476223737025
07-11,0.05281608411449285,0.036632612627517,0.05023297468854544,0.05186191696870385,0.07627587698376533,0.07129220912265202,0.06952841022284842,0.08679913640072046,0.07347360471550082,0.09188640470472591,0.0855563075990425,0.05173806805749748,0.07044551154082598,0.07088046006080544,0.08854225456978397,0.0941441787044982
07-16,0.04354720389774393,0.033059023054241604,0.04857466289990392,0.0482453692897839,0.0701097311634028,0.06414485884445754,0.06450178214214118,0.08898222820176212,0.06710427153613042,0.08897011605564033,0.08634361703967497,0.043956353482268326,0.06850369543961049,0.06907969058238936,0.0874528130138561,0.09216119278814687
07-21,0.03766036354131268,0.030869486454279428,0.04686803123371607,0.045471954837327126,0.06441212311703758,0.05802660269136705,0.059643883781369374,0.090395157242727,0.06076197761882687,0.08593800233729228,0.08924243580661123,0.03935207079674764,0.06734369505262577,0.06708249136065803,0.08709178167288356,0.09023814328726235
07-26,0.03347583163919395,0.029592732307642897,0.043901369189575754,0.04207891496015938,0.057881746097481875,0.05183239457014449,0.054043825818764574,0.0899073768962243,0.053677648502456175,0.08273430780236916,0.09435420162417613,0.0364486059118029,0.06589095468404702,0.06388913345414787,0.08629420741205555,0.0876382235536777
07-31,0.030953883884673374,0.029340581750839027,0.04188039690750945,0.039682521776571424,0.05231273119778757,0.0471707388503529,0.0507023964935875,0.08976565676663467,0.04869572383859998,0.07771215590165498,0.09615937386981703,0.0354911271181924,0.06656851361008695,0.062479006605610996,0.08706931873249765,0.08579140257959698
08-05,0.029879293812110276,0.0295847960777839,0.04041110118878982,0.038018629586452975,0.046500672927138276,0.0440713825572022,0.047912903073120405,0.08658415722407248,0.0445612951047767,0.06954271773418277,0.09397276195928415,0.036199995447251096,0.06538754649456813,0.060098359279736197,0.0860837482187181,0.08334417323906046
08-10,0.029191707910704873,0.029806227265097976,0.03936713190735242,0.036925041169317774,0.04307737965904983,0.04177846807726735,0.04571891848399445,0.08258286262697632,0.0412267904823014,0.06261249056498341,0.09087236437713472,0.03770065848580745,0.06371041969828889,0.0580388145667276,0.08461004235685979,0.080758739064576
08-15,0.029261393790391624,0.030343932988626074,0.03887568710310188,0.036558322551713575,0.04163973331901817,0.040692369191588945,0.0446945149270483,0.07993113627343836,0.039206115537748526,0.057710393396180705,0.08964723119936611,0.040229828237464904,0.06322003527127194,0.057561832489745925,0.08415120941435714,0.07992706301445196
08-20,0.02941245908688897,0.031006369710903852,0.03905900842914155,0.036688861350730205,0.040592142797959106,0.04013956606062455,0.044360484524973404,0.07753058201322582,0.03828080631722609,0.053836831529605,0.08980768153364167,0.042805704161429245,0.06337563366787077,0.05793438464816225,0.08412942993667966,0.08024888116992235
08-25,0.02915515638075175,0.0315843920751962,0.03977981977547662,0.037134926938858726,0.03856329363110265,0.03941492837731017,0.04431915967788698,0.07585890484022507,0.03832847239417825,0.0496103767656679,0.09211130051270643,0.04416251298069055,0.06461820558047615,0.05947986978279895,0.08521051577385125,0.08124005648320902
08-30,0.029631199365266227,0.03345073915696002,0.04240465326885962,0.039024788758101926,0.037025239369011774,0.03943833314041875,0.04608890732584335,0.07671306414286917,0.03984790200432978,0.046302580327055504,0.09603815773995855,0.04463137940061343,0.0683766680687156,0.06369939220071745,0.0889922031349607,0.08328278386805762
09-04,0.029557541505229424,0.03501372423285243,0.04533327759297358,0.040953113983131124,0.0361718398638291,0.040156726504619725,0.045356013438993224,0.06909094642834838,0.04063931659254213,0.043498320252445426,0.08939891619285573,0.04106270388359193,0.06496506475973951,0.06291391408392552,0.08488661655406071,0.0798731794348213
